exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460348,0
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460349,1
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p2,accepted,,820116,820118460350,2
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460351,3
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460352,4
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460353,5
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460354,6
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460355,7
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460356,8
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460357,9
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460358,10
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460359,11
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460360,12
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460361,13
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460362,14
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460363,15
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460364,16
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460365,17
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460366,18
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460367,19
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460368,20
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460369,21
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460370,22
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460371,23
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p1,accepted,,820116,820118460372,24
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p2,accepted,,820116,820118460373,25
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:115,true,p2,accepted,,820116,820118460374,26
tf_model116_vs115_animal_1000_2026-08-20,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:115,tf:116,false,p1,accepted,,820116,820118460375,27
