exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_model116_vs93_1000_2026-08-19b,animal-cycle_fixed_7x7.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348279,0
tf_model116_vs93_1000_2026-08-19b,animal-cycle_fixed_7x7.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348280,1
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348279,0
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348280,1
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348281,2
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348282,3
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348283,4
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348284,5
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348285,6
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348286,7
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348287,8
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348288,9
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348289,10
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348290,11
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348291,12
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348292,13
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348293,14
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348294,15
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348295,16
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348296,17
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:116,tf:93,true,p1,accepted,,116093,116093348297,18
tf_model116_vs93_1000_2026-08-19b,animal-cycle_random-start_7x7.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:116,false,p2,accepted,,116093,116093348298,19
tf_model116_vs93_1000_2026-08-19b,classic_fixed_12x10.jsonl,classic-fixed-12x10,classic,fixed,12x10,tf:116,tf:93,true,p1,accepted,,116093,116093348279,0
tf_model116_vs93_1000_2026-08-19b,classic_fixed_12x10.jsonl,classic-fixed-12x10,classic,fixed,12x10,tf:93,tf:116,false,p1,accepted,,116093,116093348280,1
tf_model116_vs93_1000_2026-08-19b,classic_fixed_8x8.jsonl,classic-fixed-8x8,classic,fixed,8x8,tf:116,tf:93,true,p1,accepted,,116093,116093348279,0
tf_model116_vs93_1000_2026-08-19b,classic_fixed_8x8.jsonl,classic-fixed-8x8,classic,fixed,8x8,tf:93,tf:116,false,p1,accepted,,116093,116093348280,1
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:116,tf:93,true,p1,accepted,,116093,116093348279,0
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:93,tf:116,false,p1,accepted,,116093,116093348280,1
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:116,tf:93,true,p1,accepted,,116093,116093348281,2
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:93,tf:116,false,p1,accepted,,116093,116093348282,3
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:116,tf:93,true,p1,accepted,,116093,116093348283,4
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:93,tf:116,false,p1,accepted,,116093,116093348284,5
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:116,tf:93,true,p1,accepted,,116093,116093348285,6
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:93,tf:116,false,p2,accepted,,116093,116093348286,7
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:116,tf:93,true,p1,accepted,,116093,116093348287,8
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:93,tf:116,false,p1,accepted,,116093,116093348288,9
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:116,tf:93,true,p1,accepted,,116093,116093348289,10
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:93,tf:116,false,p1,accepted,,116093,116093348290,11
tf_model116_vs93_1000_2026-08-19b,classic_random-start_12x10.jsonl,classic-random-12x10,classic,random-start,12x10,tf:116,tf:93,true,p2,accepted,,116093,116093348291,12
