exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p1,accepted,,831094,831096493282,0
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p2,accepted,,831094,831096493283,1
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p1,accepted,,831094,831096493284,2
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493285,3
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493286,4
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p2,accepted,,831094,831096493287,5
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493288,6
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493289,7
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493290,8
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493291,9
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493292,10
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493293,11
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p1,accepted,,831094,831096493294,12
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p2,accepted,,831094,831096493295,13
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p1,accepted,,831094,831096493296,14
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p2,accepted,,831094,831096493297,15
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493298,16
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:94,tf:100,false,p1,accepted,,831094,831096493299,17
tf_phase7_policy_classic_2026-08-20,classic_12x10_g100_vs_g94.jsonl,classic-random-12x10,classic,random-start,12x10,tf:100,tf:94,true,p2,accepted,,831094,831096493300,18
