exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p1,accepted,,830094,830096490282,0
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:94,tf:100,false,p1,accepted,,830094,830096490283,1
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p1,accepted,,830094,830096490284,2
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:94,tf:100,false,p1,accepted,,830094,830096490285,3
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p2,accepted,,830094,830096490286,4
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:94,tf:100,false,p2,accepted,,830094,830096490287,5
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p1,accepted,,830094,830096490288,6
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:94,tf:100,false,p1,accepted,,830094,830096490289,7
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p2,accepted,,830094,830096490290,8
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:94,tf:100,false,p1,accepted,,830094,830096490291,9
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p2,accepted,,830094,830096490292,10
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:94,tf:100,false,p1,accepted,,830094,830096490293,11
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p1,accepted,,830094,830096490294,12
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:94,tf:100,false,p1,accepted,,830094,830096490295,13
tf_phase7_policy_standard_2026-08-20,standard_12x10_g100_vs_g94.jsonl,standard-random-12x10,standard,random-start,12x10,tf:100,tf:94,true,p2,accepted,,830094,830096490296,14
