exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-fixed-7x7_g95_vs_g93.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:95,tf:93,true,p2,accepted,,645593041,645594977779123,0
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-fixed-7x7_g95_vs_g93.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:93,tf:95,false,p2,accepted,,645593041,645594977779124,1
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-fixed-7x7_g97_vs_g93.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:97,tf:93,true,p2,accepted,,645793041,645794978379123,0
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-fixed-7x7_g97_vs_g93.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:93,tf:97,false,p2,accepted,,645793041,645794978379124,1
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-fixed-7x7_g98_vs_g93.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:98,tf:93,true,p1,accepted,,645893041,645894978679123,0
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-fixed-7x7_g98_vs_g93.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:93,tf:98,false,p2,accepted,,645893041,645894978679124,1
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:95,tf:93,true,p1,accepted,,645593444,645595380780332,0
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:95,false,p2,accepted,,645593444,645595380780333,1
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:95,tf:93,true,p1,accepted,,645593444,645595380780334,2
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:95,false,p2,accepted,,645593444,645595380780335,3
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:95,tf:93,true,p1,accepted,,645593444,645595380780336,4
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:95,false,p2,accepted,,645593444,645595380780337,5
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:95,tf:93,true,p2,accepted,,645593444,645595380780338,6
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:95,false,p2,accepted,,645593444,645595380780339,7
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:95,tf:93,true,p2,accepted,,645593444,645595380780340,8
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:95,false,p1,accepted,,645593444,645595380780341,9
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:95,tf:93,true,p1,accepted,,645593444,645595380780342,10
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g95_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:95,false,p2,accepted,,645593444,645595380780343,11
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g97_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:97,tf:93,true,p1,accepted,,645793444,645795381380332,0
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g97_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:97,false,p2,accepted,,645793444,645795381380333,1
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g97_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:97,tf:93,true,p1,accepted,,645793444,645795381380334,2
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g97_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:97,false,p2,accepted,,645793444,645795381380335,3
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g97_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:97,tf:93,true,p2,accepted,,645793444,645795381380336,4
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g97_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:93,tf:97,false,p2,accepted,,645793444,645795381380337,5
tf_policy_elo_616bc2f2_phase7_boundary_2026-08-20,animal-cycle-random-7x7_g97_vs_g93.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:97,tf:93,true,p1,accepted,,645793444,645795381380338,6
