exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g100_vs_g94.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:100,tf:94,true,p1,accepted,,636094041,636095949282123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g100_vs_g94.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:94,tf:100,false,p2,accepted,,636094041,636095949282124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g100_vs_g97.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:100,tf:97,true,p1,accepted,,636097041,636098949291123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g100_vs_g97.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:97,tf:100,false,p2,accepted,,636097041,636098949291124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g101_vs_g95.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:101,tf:95,true,p1,accepted,,636195041,636196949585123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g101_vs_g95.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:95,tf:101,false,p2,accepted,,636195041,636196949585124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g101_vs_g98.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:101,tf:98,true,p1,accepted,,636198041,636199949594123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g101_vs_g98.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:98,tf:101,false,p2,accepted,,636198041,636199949594124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g102_vs_g96.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:102,tf:96,true,p1,accepted,,636296041,636297949888123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g102_vs_g96.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:96,tf:102,false,p2,accepted,,636296041,636297949888124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g102_vs_g99.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:102,tf:99,true,p2,accepted,,636299041,636300949897123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g102_vs_g99.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:99,tf:102,false,p2,accepted,,636299041,636300949897124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g103_vs_g100.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:103,tf:100,true,p2,accepted,,636400041,636401950200123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g103_vs_g100.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:100,tf:103,false,p1,accepted,,636400041,636401950200124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g103_vs_g97.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:103,tf:97,true,p1,accepted,,636397041,636398950191123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g103_vs_g97.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:97,tf:103,false,p2,accepted,,636397041,636398950191124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g104_vs_g101.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:104,tf:101,true,p1,accepted,,636501041,636502950503123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g104_vs_g101.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:101,tf:104,false,p2,accepted,,636501041,636502950503124,1
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g104_vs_g98.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:104,tf:98,true,p1,accepted,,636498041,636499950494123,0
tf_policy_elo_616bc2f2_phase7_d3d6_2026-08-20,animal-cycle-fixed-7x7_g104_vs_g98.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:98,tf:104,false,p2,accepted,,636498041,636499950494124,1
