exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g100_vs_g99.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:100,tf:99,true,p1,accepted,,626099041,626100919297123,0
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g100_vs_g99.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:99,tf:100,false,p2,accepted,,626099041,626100919297124,1
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g101_vs_g100.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:101,tf:100,true,p2,accepted,,626200041,626201919600123,0
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g101_vs_g100.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:100,tf:101,false,p1,accepted,,626200041,626201919600124,1
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g102_vs_g101.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:102,tf:101,true,p1,accepted,,626301041,626302919903123,0
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g102_vs_g101.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:101,tf:102,false,p2,accepted,,626301041,626302919903124,1
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g103_vs_g102.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:103,tf:102,true,p1,accepted,,626402041,626403920206123,0
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g103_vs_g102.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:102,tf:103,false,p1,accepted,,626402041,626403920206124,1
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g104_vs_g103.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:104,tf:103,true,p1,accepted,,626503041,626504920509123,0
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g104_vs_g103.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:103,tf:104,false,p1,accepted,,626503041,626504920509124,1
tf_policy_elo_616bc2f2_phase7_delta1_2026-08-20,animal-cycle-fixed-7x7_g105_vs_g104.jsonl,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:105,tf:104,true,p2,accepted,,626604041,626605920812123,0
