exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284052,0
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284053,1
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284054,2
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284055,3
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284056,4
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284057,5
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284058,6
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284059,7
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284060,8
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284061,9
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284062,10
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284063,11
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284064,12
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284065,13
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p2,accepted,,656094684,656096652284066,14
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284067,15
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p2,accepted,,656094684,656096652284068,16
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094684,656096652284069,17
tf_policy_elo_616bc2f2_phase7_random_40to64_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094684,656096652284070,18
