exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284172,0
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284173,1
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p2,accepted,,656094724,656096692284174,2
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284175,3
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p2,accepted,,656094724,656096692284176,4
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284177,5
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284178,6
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284179,7
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284180,8
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284181,9
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284182,10
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284183,11
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284184,12
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284185,13
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284186,14
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284187,15
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284188,16
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284189,17
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:100,tf:94,true,p1,accepted,,656094724,656096692284190,18
tf_policy_elo_616bc2f2_phase7_random_to40_2026-08-20,animal-cycle-random-7x7_g100_vs_g94.jsonl,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:94,tf:100,false,p2,accepted,,656094724,656096692284191,19
