exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#7b902a8fd71f1e8815f2ec2b,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:135,tf:141,true,p2,accepted,,1384600868,1384605021802604,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#ff9d91dc4f292c87032fabba,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:136,tf:142,true,p2,accepted,,1612578676,1612583513736028,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#c3fc3328b20d92826fd3f661,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:137,tf:143,true,p2,accepted,,362677169,362678257031507,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#f263d315ed10fb923f33e164,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:138,tf:141,true,p2,accepted,,164734504,164734998203512,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#7b73d46bbbc5b2633dfeb510,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:138,tf:144,true,p2,accepted,,728338482,728340667015446,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#2ec7f2b6d46c812343973e28,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:139,tf:142,true,p2,accepted,,1806929518,1806934938788554,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#09cdcc6bafe7684cec3c4993,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:139,tf:145,true,p2,accepted,,2087284383,2087290644853149,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#96451752c2980eef3ad71f31,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:140,tf:141,true,p2,accepted,,771536139,771538453608417,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#8b49b7d5a654293f46f65430,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:140,tf:143,true,p2,accepted,,660403864,660405845211592,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#f4dbafd93a9cad4f695e80f3,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:140,tf:146,true,p2,accepted,,2023213532,2023219601640596,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#495a8fab0109f4a5ebc65219,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:141,tf:135,false,p1,accepted,,1384600868,1384605021802605,1
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#41852739d22c405fb0bb4e0a,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:141,tf:138,false,p1,accepted,,164734504,164734998203513,1
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#6409e4f986b634d01abaed44,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:141,tf:140,false,p2,accepted,,771536139,771538453608418,1
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#10fc45ccdb5efdc4a830b6a7,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:141,tf:142,true,p1,accepted,,1404793970,1404798184381910,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#9f6134fc456a9d0c754b40ac,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:141,tf:144,true,p1,accepted,,1587604539,1587609301813617,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#9e4b7e24008d3dae20f0180d,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:141,tf:147,true,p1,accepted,,523932803,523934374798409,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#58af0143b4cb8bf3dacff006,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:142,tf:136,false,p1,accepted,,1612578676,1612583513736029,1
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#c1725cf306331797cda7c07e,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:142,tf:139,false,p1,accepted,,1806929518,1806934938788555,1
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#eba0c0eabd9f0db79e772818,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:142,tf:141,false,p1,accepted,,1404793970,1404798184381911,1
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#5518944978a3ce28e9206552,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:142,tf:143,true,p1,accepted,,1588635895,1588640660907685,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#884de30f15f7149a6e5f46db,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:142,tf:145,true,p1,accepted,,1157865188,1157868661595564,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#08e19418d67126e2e22f85f5,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:142,tf:148,true,p1,accepted,,1863452427,1863458017357281,0
tf_policy_elo_current_rule_continuation_g141_g150_2026-09-02,accepted/animal-cycle-fixed-7x7.jsonl#4fbb74168daa728330bc0b7f,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:143,tf:137,false,p1,accepted,,362677169,362678257031508,1
