exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#88b8d191d8999653a6350059,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:140,tf:150,true,p1,accepted,,131962045,131962440886135,0
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#6263d4ce8dcbfd0f1269c0c4,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:140,tf:150,true,p2,accepted,,131962045,131962440886137,2
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#8d96b3ad8e0ee4234e65a987,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:140,tf:150,true,p1,accepted,,131962045,131962440886139,4
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#1c628885396fd656af0e7ed3,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:140,tf:150,true,p1,accepted,,131962045,131962440886141,6
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#636cf16e8bbcd6a277b65292,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:140,tf:150,true,p1,accepted,,131962045,131962440886143,8
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#2dfe7e48613413fc603f3aba,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:140,tf:150,true,p1,accepted,,131962045,131962440886145,10
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#c6fd3b1bb5a6633b16c3aedf,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:150,tf:140,false,p1,accepted,,131962045,131962440886136,1
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#0351de480616c7ccdd73b04d,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:150,tf:140,false,p1,accepted,,131962045,131962440886138,3
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#c053d9eecac483abab6d35ad,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:150,tf:140,false,p2,accepted,,131962045,131962440886140,5
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#45f51621ea9a0363369b0dc0,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:150,tf:140,false,p1,accepted,,131962045,131962440886142,7
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#e37b287cc8ebc32bc5e3d090,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:150,tf:140,false,p1,accepted,,131962045,131962440886144,9
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/animal-cycle-random-7x7.jsonl#d0af44c589dc2b296998eb5b,animal-cycle-random-7x7,animal-cycle,random-start,7x7,tf:150,tf:140,false,p2,accepted,,131962045,131962440886146,11
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#e5c09492aa23a24c10a278e7,classic-random-12x10,classic,random-start,12x10,tf:140,tf:150,true,p1,accepted,,1398399665,1398403860198995,0
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#8725471a6862aa626ade84ec,classic-random-12x10,classic,random-start,12x10,tf:140,tf:150,true,p2,accepted,,1398399665,1398403860198997,2
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#f3c5de0f88141c86e15782e8,classic-random-12x10,classic,random-start,12x10,tf:140,tf:150,true,p1,accepted,,1398399665,1398403860198999,4
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#ef3b59c64e7fda968839569e,classic-random-12x10,classic,random-start,12x10,tf:140,tf:150,true,p1,accepted,,1398399665,1398403860199001,6
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#0b7433b9250e445be909bc8f,classic-random-12x10,classic,random-start,12x10,tf:140,tf:150,true,p1,accepted,,1398399665,1398403860199003,8
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#af3c840e34a9bf8be30c68ba,classic-random-12x10,classic,random-start,12x10,tf:140,tf:150,true,p1,accepted,,1398399665,1398403860199005,10
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#9f6db15028ef8395a153f511,classic-random-12x10,classic,random-start,12x10,tf:150,tf:140,false,p1,accepted,,1398399665,1398403860198996,1
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#35f039298d38fd044bb754fc,classic-random-12x10,classic,random-start,12x10,tf:150,tf:140,false,p2,accepted,,1398399665,1398403860198998,3
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#fd6012f701f22d050dd080f2,classic-random-12x10,classic,random-start,12x10,tf:150,tf:140,false,p1,accepted,,1398399665,1398403860199000,5
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#774fd700a73593ea85806d29,classic-random-12x10,classic,random-start,12x10,tf:150,tf:140,false,p1,accepted,,1398399665,1398403860199002,7
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#d98656d21881fd3a839e2e6c,classic-random-12x10,classic,random-start,12x10,tf:150,tf:140,false,p1,accepted,,1398399665,1398403860199004,9
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-12x10.jsonl#5883d4486a119a781dadba5f,classic-random-12x10,classic,random-start,12x10,tf:150,tf:140,false,p1,accepted,,1398399665,1398403860199006,11
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-8x8.jsonl#46a16ad88a2864a008461687,classic-random-8x8,classic,random-start,8x8,tf:140,tf:150,true,p1,accepted,,741190305,741192528570915,0
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-8x8.jsonl#e0caa38aad0aeb3d1152edab,classic-random-8x8,classic,random-start,8x8,tf:140,tf:150,true,p1,accepted,,741190305,741192528570917,2
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-8x8.jsonl#e515449e1c81b993fb6b54b3,classic-random-8x8,classic,random-start,8x8,tf:140,tf:150,true,p1,accepted,,741190305,741192528570919,4
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-8x8.jsonl#c93c1b73f1ada81a0160700a,classic-random-8x8,classic,random-start,8x8,tf:140,tf:150,true,draw,accepted,,741190305,741192528570921,6
tf_policy_elo_current_rule_g150_vs_g140_2026-09-01,accepted/classic-random-8x8.jsonl#90bac3bd015cbdadd90fa8ff,classic-random-8x8,classic,random-start,8x8,tf:140,tf:150,true,p2,accepted,,741190305,741192528570923,8
