exp,sourceFile,conditionId,variant,setup,board,p1,p2,candidateIsP1,winner,evidenceStatus,exclusionReason,engineSeed,randomStartSeed,game
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#14b10b86a519150799f9e29c,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:121,tf:127,true,p1,accepted,,624116997,624118869350991,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#251349febc9f588b955ed869,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:122,tf:128,true,p2,accepted,,689310767,689312834932301,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#618e1cbd2446c65d2636044a,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:123,tf:129,true,p2,accepted,,526613265,526614844839795,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#31632a998e340c72eea052f3,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:124,tf:127,true,p2,accepted,,1552215789,1552220445647367,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#73734af2ef7e87c2cd977f94,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:124,tf:130,true,p2,accepted,,767271280,767273581813840,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#71a1895ff26ce20e5acd3774,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:125,tf:128,true,p2,accepted,,167236671,167237172710013,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#731fa16834ed04196848c392,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:125,tf:131,true,p2,accepted,,2026521135,2026527214563405,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#8cecac8157d66f7cdd095101,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:126,tf:127,true,p2,accepted,,462027632,462029018082896,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#08e23e056343dcb305057be9,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:126,tf:129,true,p2,accepted,,342947701,342948729843103,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#f77a84d4f42650dcd9ef5755,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:126,tf:132,true,p1,accepted,,1471513523,1471517937540569,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#9a17da107f73c0360eb0f4ea,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:127,tf:121,false,p2,accepted,,624116997,624118869350992,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#d36bca140e27591311c80a86,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:127,tf:124,false,p1,accepted,,1552215789,1552220445647368,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#58894176f6571cfbf1362fb6,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:127,tf:126,false,p2,accepted,,462027632,462029018082897,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#e74a73788d04017a5bb7667e,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:127,tf:128,true,p2,accepted,,871861476,871864091584428,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#f32db0da90017331854dc222,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:127,tf:130,true,p2,accepted,,1445124407,1445128742373221,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#939c34022065f911651719a8,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:127,tf:133,true,p2,accepted,,1099219866,1099223163659598,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#b917fc225c8ac3bb53fa5c17,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:128,tf:122,false,p2,accepted,,689310767,689312834932302,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#71c5eda40416ab0b175cbb56,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:128,tf:125,false,p2,accepted,,167236671,167237172710014,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#89246dca2f91ab498ba5f9f4,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:128,tf:127,false,p2,accepted,,871861476,871864091584429,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#1f3ba7e082f0323949fd005f,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:128,tf:129,true,p2,accepted,,1312374146,1312378083122438,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#b1ad817e878d9fa6d96694b0,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:128,tf:131,true,p2,accepted,,857657231,857659803971693,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#b4d2cb4bf5f04123e297ee52,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:128,tf:134,true,p1,accepted,,1504343928,1504348441031784,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#ebcfa081dfe4c7b01f89a1a0,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:129,tf:123,false,p2,accepted,,526613265,526614844839796,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#3f6b56d25390342bae605a5e,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:129,tf:126,false,p1,accepted,,342947701,342948729843104,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#6fed1b9ff23e089deb856897,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:129,tf:128,false,p2,accepted,,1312374146,1312378083122439,1
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#1b618c941c29645f6c2db115,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:129,tf:130,true,p2,accepted,,492914665,492916143743995,0
tf_policy_elo_random_start_continuation_g127_g140_2026-08-26,accepted/animal-cycle-fixed-7x7.jsonl#0330a15903356350b57fed8e,animal-cycle-fixed-7x7,animal-cycle,fixed,7x7,tf:129,tf:132,true,p1,accepted,,1234799387,1234803091398161,0
